id,WhatCountryDoYouLiveIn,HowOldAreYou,WhatIsYourGender,ToWhatExtentDoYouFeelFEARDueToTheCoronavirus,ToWhatExtentDoYouFeelANXIOUSDueToTheCoronavirus,ToWhatExtentDoYouFeelANGRYDueToTheCoronavirus,ToWhatExtentDoYouFeelHAPPYDueToTheCoronavirus,ToWhatExtentDoYouFeelSADDueToTheCoronavirus,WhichEmotionisHavingTheBiggestImpactOnYou,WhatMakesYouFeelThatWay,WhatBringsYouTheMostMeaningDuringTheCoronavirusOutbreak,WhatIsYourOccupation
2,Switzerland,25,Female,3,4,3,4,4,"A mix of awe and anxiety. Awe at how wonderful of a challenge this is for our world to tackle together (especially on issues that have plagued us for decades) and anxiety on how much we may not be thinking about those who are most vulnerable ","Reading thought leadership articles and social media",Reading,"Global Public Servant (WEF)"
3,USA,26,Female,3,3,1,4,4,"A mix of happy to be safe and home and sad for people who aren’t ","Seeing what’s happening in the news ",Family,"Student "
6,USA,24,Female,4,4,5,1,4,Anger,"The US federal government ",Friends,"Graduate student "
7,USA,21,Female,4,3,5,3,2,Anger,"People are not being responsible in doing their part in staying in doors. It is causing a major spread in our environment. Due to this spread, I am not allowed to be outdoors or stay in my apartment in Austin. I am very active outside, so this is a challenge for me to stay inside. ","Being alone","Student "
13,Switzerland,29,Female,4,4,4,1,5,Anger,"The lack of preparedness to coronavirus, and how we will be able to come out of this stronger and change the economic system. I also feel sad/angry due to the tough situations that so many people around the world are being faced with. ",Family,"World Economic Forum Employee"
14,"USA  ",15,Female,2,1,4,3,4,Anger,"Everything I was apart of getting cancelled. Not seeing my friends and extended family.","Family AND Friends and having plans for the future to go and do things.","Student "
16,Romania,16,Female,2,4,4,2,4,Anger,"The fact that I live in the house and then having nothing to do I get annoyed with some people",Family,Student
18,Romania,7,Female,5,1,1,1,5,Anger,"Happiness when I play with my family",Family,Student
19,Romania,16,Female,4,5,5,2,4,Anger,"Fear that life won't be the same","S? faci sport",Student
20,Romania,9,Female,3,3,5,4,5,Anger,"Coronavirus annoys me",Family,Student
21,Romania,15,Female,5,5,3,1,5,Anger,"Don't know  ",Family,Student
23,Romania,18,Female,3,4,5,2,4,Anger,"Feeling like I’m wasting some of the best years of my life. ",Family,Student
35,Romania,31,Female,3,5,4,3,1,Anxiety,"The idea that sooner or later we may all be infected and I do not know how my body or the bodies of my loved ones will react.",Family,-1
45,Colombia,34,Female,5,5,3,1,1,Anxiety,"The uncertainty of being threatened by something I can't see or control, and the fact that I can't protect my family living in other parts of the world. ",Family,Teacher
46,USA,19,Female,3,4,1,1,3,Anxiety,"We have not lived through something like this before in such a modern world. We have the tools to flatten the curve and take care of people but then others won’t listen, which creates issues into stopping the spread.",Family,Student
51,Canada,29,Female,4,4,3,1,3,Anxiety,"I miss my family and I feel nervous that they are going to get sick.",Family,"PhD Student"
52,USA,28,Female,2,4,4,1,3,Anxiety,"COVID has had huge implications on the economy and daily living, which makes me feel anxious and uncertain about what my immediate future will look like. I am trying to sell my house and move states, and everything has (understandably) been put on hold. I am unsure whether I can meet the commitments I made before the outbreak, and the uncertainty surrounding change is uncomfortable.",Family,"PhD student"
54,USA,32,Female,3,4,3,2,4,Anxiety,"I am mostly worried about my friends who are losing their jobs, and how they will afford to pay for rent and basic necessities.",Family,"Mental Health Therapist"
55,USA,30,Female,4,4,2,2,5,Anxiety,"The uncertainty of not knowing what is to come, including whether I myself or my loved ones will get sick.",Family,"Clinical Psychology Intern"
57,USA,28,Female,4,5,4,2,3,Anxiety,"The unknown",Family,Nurse
58,USA,26,Female,1,3,1,2,1,Anxiety,"I am anxious I can't get out of the house, worried about how long this will last. However, I am not completely overwhelmed by my anxiety. Just a bit!",Friends,"Graduate Student in Psychology "
60,USA,28,Female,1,2,1,1,3,Anxiety,"That people are not taking sufficient measures to prevent spread of the coronavirus, potentially putting thousands of people at unnecessary risk.",Friends,Student
64,USA,24,Female,3,3,2,2,3,Anxiety,"I'm worried about loved ones getting sick.",Family,"Clinical Psychology Research Assistant"
65,USA,19,Female,1,4,2,3,4,Anxiety,"I'm in college and my school switched to online classes and it's a lot harder to learn online (for me) than in person.",Family,student
66,USA,21,Female,4,5,3,1,4,Anxiety,"Not knowing what is going to happen in the future or when the pandemic will end",Family,Student
67,USA,32,Female,2,3,1,1,3,Anxiety,"Unsure about the future",Friends,Musician
68,USA,19,Female,5,5,2,1,5,Anxiety,"The uncertainty ",Family,Student
69,USA,19,Female,4,4,3,1,4,Anxiety,"My father is an Emergency Room doctor, so I'm worried about him getting the coronavirus. It would be especially bad if he got without knowing (because of the lack of tests) and spread it to vulnerable patients.",Family,Student
72,USA,19,Female,2,4,1,1,2,Anxiety,"Having to stay inside in quarantine all the time and worry about adjusting to online school/quarantine life.",Family,Student
73,"USA ",20,Female,4,4,5,2,3,Anxiety,"Watching the news and hearing stories about people that are not being cautious enough ",Friends,Student
74,USA,18,Female,3,4,4,2,3,Anxiety,"Uncertainty about the future of school and the country",Family,Student
75,USA,21,Female,3,4,4,1,3,Anxiety,"I`m just unsure about the future, my graduation got canceled and a lot of my plans are getting canceled so its just a time of uncertainty which is hard for me to deal with.  ",Family,Student/nanny
76,"Australia ",29,Female,4,4,3,2,2,Anxiety,"Worrying about my family and if they'll be okay",Family,"Student "
82,USA,21,Female,5,5,5,1,5,Anxiety,"Government inaction, uncertainty about the future, having family members and loved ones at high risk, and little personal control over the situation. ","My fiancé and my cat ","College student "
90,USA,17,Female,3,4,4,1,4,Anxiety,"The uncertainty of the situation because it is unprecedented ",Friends,Student
100,USA,35,Female,4,5,5,1,5,Anxiety,"Lack of leadership",Family,Teacher
104,USA,33,Female,5,5,5,1,5,Anxiety,"Not only the virus and the people directly effected by it, but also all the people who are losing the jobs and can’t afford rent, utilities and food.",Work,Healthcare
110,USA,22,Female,4,5,5,2,5,Anxiety,"It’s stressful having so much be up in the air right now. People are dying everyday due to this and the whole world is in quarantine. My senior year of college came to an abrupt end and I didn’t get to say any goodbyes.",Friends,"College Student"
122,USA,27,Female,3,2,1,1,2,Anxiety,"Uncertainty ",Friends,"Human Resources"
126,USA,24,Female,3,4,3,3,2,Anxiety,"I feel nervous because I cannot predict what the next day will entail. Will I still have a job? Will I be able to drive to visit my partner, or to go home? Are my family members taking necessary precautions to stay safe? Will I have healthcare (insurance) and will I be able to be treated if I fall ill? There are no answers, and that is very scary. ","Spending quality time with my boyfriend. Usually we're long distance, so this has been one of the longest periods of time that we've been together in years. ","Mental Health Counselor "
127,Germany,31,Female,3,4,2,1,3,Anxiety,"Not sure about the future",Friends,Artist
